WB        HSG       FY        MWDA     MWDB      GD        YDDJ
上shang4  上shang4  上shang4  □        上shang4  上shang4  上shang4
士shi4    士shi4    士shi4    □        □         士shi4    士shi4
聞wen2    聞wen2    聞wen2    □        □         聞wen2    聞wen2
道dao4    道dao4    道dao4    □        道dao4    道dao4    道dao4
勤qin2    勤qin2    而er2     □        勤qin2    勤qin2    勤qin2
而er2     而er2     勤qin2    □        能neng2   能neng2   能neng2
行xing2   行xing2   行xing2   □        行xing2   行xing2   行xing2
之zhi1    之zhi1    之zhi1    □        之zhi1    於yu2     於yu2
--        --        --        --       --        其qi2     其qi2
--        --        --        --       --        中zhong1  中zhong1
中zhong1  中zhong1  中zhong1  □        中zhong1  中zhong1  中zhong1
士shi4    士shi4    士shi4    □        士shi4    士shi4    士shi4
聞wen2    聞wen2    聞wen2    □        聞wen2    聞wen2    聞wen2
道dao4    道dao4    道dao4    □        道dao4    道dao4    道dao4
若ruo4    若ruo4    若ruo4    □        若ruo4    若ruo4    若ruo4
存cun2    存cun2    存cun2    □        存cun2    聞wen2    聞wen2
若ruo4    若ruo4    若ruo4    □        若ruo4    若ruo4    若ruo4
亡wang2   亡wang2   亡wang2   □        亡wang2   忘wang4   忘wang4
下xia4    下xia4    下xia4    □        下xia4    下xia4    下xia4
士shi4    士shi4    士shi4    □        士shi4    士shi4    士shi4
聞wen2    聞wen2    聞wen2    □        聞wen2    聞wen2    聞wen2
道dao4    道dao4    道dao4    □        道dao4    道dao4    道dao4
--        --        而er2     --       --        --        --
大da4     大da4     大da4     □        大da4     大da4     大da4
笑xiao4   笑xiao4   笑xiao4   □        笑xiao4   笑xiao4   笑xiao4
之zhi1    之zhi1    之zhi1    □        之zhi1    之zhi1    之zhi1
不bu4     不bu4     不bu4     □        弗fu2     弗fu2     弗fu2
--        --        --        --       --        大da4     大da4
笑xiao4   笑xiao4   笑xiao4   □        笑xiao4   笑xiao4   笑xiao4
不bu4     不bu4     不bu4     □        □         不bu4     不bu4
足zu2     足zu2     足zu2     □        □         足zu2     足zu2
以yi3     以yi3     以yi3     □        以yi3     以yi3     以yi3
為wei2    為wei2    為wei2    □        為wei2    為wei2    為wei2
道dao4    道dao4    道dao4    □        道dao4    道dao4    道dao4
--        --        --        --       --        矣yi3     矣yi3
--        --        --        --       &lt;      --        --
故gu4     故gu4     故gu4     □        是shi4    是shi4    是shi4
--        --        --        □        以yi3     以yi3     以yi3
建jian4   建jian4   建jian4   □        建jian4   建jian4   建jian4
