WB         HSG        FY         MWDA      MWDB      GD         YDDJ
含han2     含han2     含han2     □         含han2    含han2     含han2
德de2      德de2      德de2      □         德de2     德de2      德de2
之zhi1     之zhi1     之zhi1     之zhi1    之zhi1    之zhi1     之zhi1
厚hou4     厚hou4     厚hou4     厚hou4    厚hou4    厚hou4     厚hou4
--         --         者zhe3     □         者zhe3    者zhe3     者zhe3
比bi3      比bi3      比bi3      比bi3     比bi3     比bi3      比bi3
--         --         之zhi1     --        --        --         --
於yu2      於yu2      於yu2      於yu2     於yu2     於yu2      於yu2
赤chi4     赤chi4     赤chi4     赤chi4    赤chi4    赤chi4     赤chi4
子zi3      子zi3      子zi3      子zi3     子zi3     子zi3      子zi3
--         --         也ye3      --        --        --         --
蜂feng1    蜂feng1    蜂feng1    逢feng2   蟲chong2  蟲chong2   蜂feng1
蠆chai4    蠆chai4    蠆chai4    蠆chai4   蠆chai4   蠆chai4    蠆chai4
虺hui3     虺hui3     --         虺hui3    虺hui3    虺hui3     虺hui3
蛇she2     蛇she2     --         地di4     蛇she2    蛇she2     蛇she2
不bu4      不bu4      不bu4      弗fu2     弗fu2     弗fu2      弗fu2
螫shi4     螫shi4     螫shi4     螫shi4    螫shi4    螫shi4     螫shi4
猛meng3    猛meng3    猛meng3    攫jue2    據ju4     攫jue2     攫jue2
獸shou4    獸shou4    獸shou4    鳥niao3   鳥niao3   鳥niao3    鳥niao3
不bu4      不bu4      不bu4      --        --        --         --
據ju4      據ju4      據ju4      --        --        --         --
攫jue2     攫jue2     攫jue2     猛meng3   孟meng4   猛meng3    猛meng3
鳥niao3    鳥niao3    鳥niao3    獸shou4   獸shou4   獸shou4    獸shou4
不bu4      不bu4      不bu4      弗fu2     弗fu2     弗fu2      弗fu2
搏bo2      搏bo2      搏bo2      搏bo2     捕bu3     扣kou4     扣kou4
骨gu3      骨gu3      骨gu3      骨gu3     骨gu3     骨gu3      骨gu3
弱ruo4     弱ruo4     弱ruo4     弱ruo4    筋jin1    弱ruo4     弱ruo4
筋jin1     筋jin1     筋jin1     筋jin1    弱ruo4    筋jin1     筋jin1
柔rou2     柔rou2     柔rou2     柔rou2    柔rou2    柔rou2     柔rou2
而er2      而er2      而er2      而er2     而er2     而er2      而er2
握wo4      握wo4      握wo4      握wo4     握wo4     握wo4      握wo4
固gu4      固gu4      固gu4      固gu4     固gu4     固gu4      固gu4
--         --         --         --        &lt;      --         --
未wei4     未wei4     未wei4     未wei4    未wei4    未wei4     未wei4
知zhi1     知zhi1     知zhi1     知zhi1    知zhi1    知zhi1     知zhi1
牝pin4     牝pin4     牝pin4     牝pin4    牝pin4    牝pin4     牝pin4
牡mu3      牡mu3      牡mu3      牡mu3     牡mu3     牡mu3      牡mu3
之zhi1     之zhi1     之zhi1     □         之zhi1    之zhi1     之zhi1
合he2      合he2      合he2      □         會hui4    合he2      合he2
而er2      而er2      而er2      而er2     而er2     --         --
至zhi4     脧zui1     脧zui1     脧zui1    脧zui1    脧zui1     脧zui1
作zuo4     作zuo4     作zuo4     □         怒nu4     怒nu4      怒nu4
精jing1    精jing1    精jing1    精jing1   精jing1   精jing1    精jing1
之zhi1     之zhi1     之zhi1     □         之zhi1    之zhi1     之zhi1
至zhi4     至zhi4     至zhi4     至zhi4    至zhi4    至zhi4     至zhi4
也ye3      也ye3      也ye3      也ye3     也ye3     也ye3      也ye3
--         --         --         &lt;      --        --         --
終zhong1   終zhong1   終zhong1   終zhong1  終zhong1  終zhong1   終zhong1
日ri4      日ri4      日ri4      日ri4     日ri4     日ri4      日ri4
號hao2     號hao2     號hao2     號hao2    號hao2    呼hu1      號hao2
而er2      而er2      而er2      而er2     而er2     而er2      而er2
不bu4      不bu4      嗄ga1      不bu4     不bu4     不bu4      不bu4
嗄ga1      啞ya3      不bu4      嗄ga1     嗄ga1     嗄ga1      嗄ga1
--         --         ?unknown   --        --        --         --
和he2      和he2      和he2      和he2     和he2     和he2      和he2
之zhi1     之zhi1     之zhi1     之zhi1    □         之zhi1     之zhi1
至zhi4     至zhi4     至zhi4     至zhi4    □         至zhi4     至zhi4
也ye3      也ye3      也ye3      也ye3     □         也ye3      也ye3
知zhi1     知zhi1     知zhi1     --        □         --         --
和he2      和he2      和he2      和he2     □         和he2      和he2
曰yue1     曰yue1     曰yue1     曰yue1    □         曰yue1     曰yue1
常chang2   常chang2   常chang2   常chang2  常chang2  常chang2   常chang2
知zhi1     知zhi1     知zhi1     知zhi1    知zhi1    知zhi1     知zhi1
常chang2   常chang2   常chang2   和he2     常chang2  和he2      和he2
曰yue1     曰yue1     曰yue1     曰yue1    曰yue1    曰yue1     曰yue1
明ming2    明ming2    明ming2    明ming2   明ming2   明ming2    明ming2
益yi4      益yi4      益yi4      益yi4     益yi4     益yi4      益yi4
生sheng1   生sheng1   生sheng1   生sheng1  生sheng1  生sheng1   生sheng1
曰yue1     曰yue1     曰yue1     曰yue1    □         曰yue1     曰yue1
祥xiang2   祥xiang2   祥xiang2   祥xiang2  祥xiang2  祥xiang2   祥xiang2
--         --         --         &lt;      --        --         --
心xin1     心xin1     心xin1     心xin1    心xin1    心xin1     心xin1
使shi3     使shi3     使shi3     使shi3    使shi3    使shi3     使shi3
氣qi4      氣qi4      氣qi4      氣qi4     氣qi4     氣qi4      氣qi4
曰yue1     曰yue1     曰yue1     曰yue1    曰yue1    曰yue1     曰yue1
強qiang2   強qiang2   強qiang2   強qiang2  強qiang2  強qiang2   強qiang2
物wu4      物wu4      物wu4      □         物wu4     物wu4      物wu4
