WB       HSG      FY       MWDA      MWDB      GD  YDDJ
道dao4   道dao4   道dao4   □         道dao4    --  道dao4
者zhe3   者zhe3   者zhe3   者zhe3    者zhe3    --  者zhe3
萬wan4   萬wan4   萬wan4   萬wan4    萬wan4    --  萬wan4
物wu4    物wu4    物wu4    物wu4     物wu4     --  物wu4
之zhi1   之zhi1   之zhi1   之zhi1    之zhi1    --  之zhi1
奧ao4    奧ao4    奧ao4    注zhu4    注zhu4    --  注zhu4
--       --       也ye3    也ye3     也ye3     --  也ye3
善shan4  善shan4  善shan4  善shan4   善shan4   --  善shan4
人ren2   人ren2   人ren2   人ren2    人ren2    --  人ren2
之zhi1   之zhi1   之zhi1   之zhi1    之zhi1    --  之zhi1
--       --       所suo3   --        --        --  --
寶bao3   寶bao3   寶bao3   葆bao3    葆bao3    --  葆bao3
--       --       --       也ye3     也ye3     --  也ye3
不bu4    不bu4    不bu4    不bu4     不bu4     --  不bu4
善shan4  善shan4  善shan4  善shan4   善shan4   --  善shan4
人ren2   人ren2   人ren2   人ren2    人ren2    --  人ren2
之zhi1   之zhi1   之zhi1   之zhi1    之zhi1    --  之zhi1
所suo3   所suo3   所suo3   所suo3    所suo3    --  所suo3
保bao3   保bao3   保bao3   保bao3    保bao3    --  保bao3
--       --       --       也ye3     也ye3     --  也ye3
美mei3   美mei3   美mei3   美mei3    美mei3    --  美mei3
言yan2   言yan2   言yan2   言yan2    言yan2    --  言yan2
可ke3    可ke3    可ke3    可ke3     可ke3     --  可ke3
以yi3    以yi3    以yi3    以yi3     以yi3     --  以yi3
--       --       於yu2    --        --        --  --
市shi4   市shi4   市shi4   市shi4    市shi4    --  市shi4
--       --       --       &lt;      --        --  --
尊zun1   尊zun1   尊zun1   尊zun1    尊zun1    --  尊zun1
行xing2  行xing2  言yan2   行xing2   行xing2   --  行xing2
可ke3    可ke3    可ke3    可ke3     可ke3     --  可ke3
以yi3    以yi3    以yi3    以yi3     以yi3     --  以yi3
加jia1   加jia1   加jia1   賀he4     賀he4     --  賀he4
--       --       於yu2    --        --        --  --
人ren2   入ru4    人ren2   人ren2    人ren2    --  人ren2
人ren2   人ren2   人ren2   人ren2    人ren2    --  人ren2
之zhi1   之zhi1   之zhi1   之zhi1    之zhi1    --  之zhi1
不bu4    不bu4    不bu4    不bu4     不bu4     --  不bu4
